 

stn;time;uto200s0;gre000z0;tre200s0;ure200s0;fkl010z0;fve010z0
THU;202405010000;7.4;0;10.2;77.7;1.4;1.4
THU;202405010010;7.1;0;8.8;82.4;0.6;0.2
THU;202405010020;7.4;0;8.3;88.0;0.9;0.9
THU;202405010030;7.3;0;7.9;89.4;1.2;1.1
THU;202405010040;7.3;0;8.8;83.9;1.2;1.1
THU;202405010050;7.1;0;8.9;81.7;0.9;0.8
THU;202405010100;7.0;0;7.5;87.9;0.9;0.6
THU;202405010110;7.1;0;7.7;87.8;0.7;0.7
THU;202405010120;7.0;0;6.7;92.3;1.1;1.1
THU;202405010130;7.0;0;6.6;93.5;0.9;0.8
THU;202405010140;7.0;0;6.9;91.9;0.6;0.6
THU;202405010150;7.1;0;7.2;90.6;0.6;0.6
THU;202405010200;7.0;0;6.2;95.0;1.0;0.9
THU;202405010210;7.0;0;6.7;92.8;0.5;0.3
THU;202405010220;7.0;0;6.2;94.8;0.7;0.6
THU;202405010230;6.8;0;6.2;93.3;0.7;0.6
THU;202405010240;6.9;0;5.7;96.8;0.9;0.8
THU;202405010250;7.1;0;6.2;95.5;0.6;0.5
THU;202405010300;6.9;0;6.0;94.9;0.2;0.1
THU;202405010310;7.1;0;5.9;97.7;0.2;0.2
THU;202405010320;6.9;0;6.1;94.2;1.3;1.2
THU;202405010330;7.0;0;5.7;98.1;1.1;1.1
THU;202405010340;7.1;0;6.2;96.0;0.6;0.6
THU;202405010350;7.1;0;6.5;94.4;0.8;0.8
THU;202405010400;7.0;0;6.9;91.8;0.9;0.8
THU;202405010410;7.0;0;7.1;90.5;0.8;0.8
THU;202405010420;6.9;0;6.2;94.2;0.5;0.5
THU;202405010430;7.1;2;6.3;95.7;1.2;1.1
THU;202405010440;7.2;9;6.1;98.8;1.3;1.3
THU;202405010450;7.4;20;6.6;97.5;0.8;0.4
THU;202405010500;7.4;30;6.8;96.0;0.5;0.5
THU;202405010510;7.3;38;7.4;92.4;0.5;0.5
THU;202405010520;7.6;45;7.4;95.4;0.5;0.5
THU;202405010530;7.7;58;7.8;94.9;0.7;0.7
THU;202405010540;7.9;72;8.3;94.3;0.4;0.3
THU;202405010550;8.0;86;8.8;92.1;0.5;0.2
THU;202405010600;8.0;99;9.2;89.7;0.1;0.1
THU;202405010610;8.0;112;9.5;87.6;0.3;0.0
THU;202405010620;8.2;150;9.7;89.0;0.4;0.4
THU;202405010630;8.0;205;10.2;84.4;0.7;0.7
THU;202405010640;7.6;234;10.9;77.1;0.4;0.4
THU;202405010650;8.0;250;11.6;76.6;0.6;0.6
THU;202405010700;7.8;302;12.3;71.7;0.6;0.6
THU;202405010710;7.1;341;12.8;63.9;0.9;0.9
THU;202405010720;7.4;337;13.0;65.4;1.1;1.1
THU;202405010730;7.5;387;13.3;65.1;0.6;0.6
THU;202405010740;7.6;440;13.5;64.9;1.1;1.1
THU;202405010750;7.4;424;13.8;62.3;0.6;0.5
