stn;time;uto200s0;gre000z0;tre200s0;ure200s0;fkl010z0;fve010z0
THU;2.02405E+11;7.4;0;10.2;77.7;1.4;1.4
THU;2.02405E+11;7.1;0;8.8;82.4;0.6;0.2
THU;2.02405E+11;7.4;0;8.3;88;0.9;0.9
THU;2.02405E+11;7.3;0;7.9;89.4;1.2;1.1
THU;2.02405E+11;7.3;0;8.8;83.9;1.2;1.1
THU;2.02405E+11;7.1;0;8.9;81.7;0.9;0.8
THU;2.02405E+11;7;0;7.5;87.9;0.9;0.6
THU;2.02405E+11;7.1;0;7.7;87.8;0.7;0.7
THU;2.02405E+11;7;0;6.7;92.3;1.1;1.1
THU;2.02405E+11;7;0;6.6;93.5;0.9;0.8
THU;2.02405E+11;7;0;6.9;91.9;0.6;0.6
THU;2.02405E+11;7.1;0;7.2;90.6;0.6;0.6
THU;2.02405E+11;7;0;6.2;95;1;0.9
THU;2.02405E+11;7;0;6.7;92.8;0.5;0.3
THU;2.02405E+11;7;0;6.2;94.8;0.7;0.6
THU;2.02405E+11;6.8;0;6.2;93.3;0.7;0.6
THU;2.02405E+11;6.9;0;5.7;96.8;0.9;0.8
THU;2.02405E+11;7.1;0;6.2;95.5;0.6;0.5
THU;2.02405E+11;6.9;0;6;94.9;0.2;0.1
THU;2.02405E+11;7.1;0;5.9;97.7;0.2;0.2
THU;2.02405E+11;6.9;0;6.1;94.2;1.3;1.2
THU;2.02405E+11;7;0;5.7;98.1;1.1;1.1
THU;2.02405E+11;7.1;0;6.2;96;0.6;0.6
THU;2.02405E+11;7.1;0;6.5;94.4;0.8;0.8
THU;2.02405E+11;7;0;6.9;91.8;0.9;0.8
THU;2.02405E+11;7;0;7.1;90.5;0.8;0.8
THU;2.02405E+11;6.9;0;6.2;94.2;0.5;0.5
THU;2.02405E+11;7.1;2;6.3;95.7;1.2;1.1
THU;2.02405E+11;7.2;9;6.1;98.8;1.3;1.3
THU;2.02405E+11;7.4;20;6.6;97.5;0.8;0.4
THU;2.02405E+11;7.4;30;6.8;96;0.5;0.5
THU;2.02405E+11;7.3;38;7.4;92.4;0.5;0.5
THU;2.02405E+11;7.6;45;7.4;95.4;0.5;0.5
THU;2.02405E+11;7.7;58;7.8;94.9;0.7;0.7
THU;2.02405E+11;7.9;72;8.3;94.3;0.4;0.3
THU;2.02405E+11;8;86;8.8;92.1;0.5;0.2
THU;2.02405E+11;8;99;9.2;89.7;0.1;0.1
THU;2.02405E+11;8;112;9.5;87.6;0.3;0
THU;2.02405E+11;8.2;150;9.7;89;0.4;0.4
THU;2.02405E+11;8;205;10.2;84.4;0.7;0.7
THU;2.02405E+11;7.6;234;10.9;77.1;0.4;0.4
THU;2.02405E+11;8;250;11.6;76.6;0.6;0.6
THU;2.02405E+11;7.8;302;12.3;71.7;0.6;0.6
THU;2.02405E+11;7.1;341;12.8;63.9;0.9;0.9
THU;2.02405E+11;7.4;337;13;65.4;1.1;1.1
THU;2.02405E+11;7.5;387;13.3;65.1;0.6;0.6
THU;2.02405E+11;7.6;440;13.5;64.9;1.1;1.1
THU;2.02405E+11;7.4;424;13.8;62.3;0.6;0.5
THU;2.02405E+11;7.5;409;14.1;61.8;0.6;0.5
THU;2.02405E+11;7;422;14.4;56.8;0.2;0.2
THU;2.02405E+11;7.1;398;14.8;56.5;0.4;0.3
THU;2.02405E+11;7.5;342;14.9;58.8;0.5;0.5
THU;2.02405E+11;7.5;388;15.1;58.4;0.4;0.3
THU;2.02405E+11;7.5;516;15.4;57;0.5;0.5
THU;2.02405E+11;7.4;485;15.8;54.9;0.2;0.1
THU;2.02405E+11;7.4;338;16;54.3;0.4;0.3
THU;2.02405E+11;7.3;277;16.1;53.7;0.2;0.1
THU;2.02405E+11;7.6;260;16.1;55.1;0.7;0.7
THU;2.02405E+11;7.8;298;16.3;56.3;0.6;0.5
THU;2.02405E+11;7.8;294;16.4;55.9;0.6;0.5
THU;2.02405E+11;7.9;283;16.6;56.4;0.7;0.6
THU;2.02405E+11;8.1;431;16.9;56;0.6;0.6
THU;2.02405E+11;8;549;17.3;54;0.3;0.2
THU;2.02405E+11;8.3;665;17.8;54.5;0.5;0.4
THU;2.02405E+11;8.4;652;18.2;53.9;0.3;0.3
THU;2.02405E+11;8.6;790;19;52.6;0.8;0.4
THU;2.02405E+11;7.8;967;19.6;46.2;1.8;1.7
THU;2.02405E+11;7.6;844;20;44;1.5;1.5
THU;2.02405E+11;6.9;722;20.3;39.6;1.9;1.8
THU;2.02405E+11;6.7;480;20.6;37.5;1.9;1.8
THU;2.02405E+11;6.9;586;20.9;37.9;1.3;1
THU;2.02405E+11;6.9;429;20.8;38.2;1.8;1.6
THU;2.02405E+11;7.1;340;20.4;40;1.9;1.7
THU;2.02405E+11;7.3;558;20.6;40.8;1.6;1.6
THU;2.02405E+11;6.8;342;20.4;38.5;1.2;1.1
THU;2.02405E+11;6.8;310;20.3;38.7;1.2;1.2
THU;2.02405E+11;6.9;307;20;40;1.4;1.4
THU;2.02405E+11;7;294;20.1;40.4;1.1;1.1
THU;2.02405E+11;7.1;271;20.2;40.6;1.1;1.1
THU;2.02405E+11;6.6;272;20.2;37.7;0.6;0.6
THU;2.02405E+11;7;300;20.3;40.1;1;1
THU;2.02405E+11;6.9;317;20.6;38.5;0.6;0.5
THU;2.02405E+11;7;313;20.7;38.8;0.5;0.4
THU;2.02405E+11;7.9;296;20.7;43.8;0.9;0.9
THU;2.02405E+11;7.8;284;20.8;43;1.1;0.9
THU;2.02405E+11;7.1;277;20.8;39;2.3;2.1
THU;2.02405E+11;6.8;228;20.4;38.4;3.2;3.2
THU;2.02405E+11;6.5;171;19.8;38;3.7;3.7
THU;2.02405E+11;6.5;136;18.8;40.8;5.2;5.2
THU;2.02405E+11;6.5;111;18.5;41.1;5;4.9
THU;2.02405E+11;6.5;100;18.6;40.8;4.2;4.2
THU;2.02405E+11;6.3;96;18.6;39.6;4.7;4.7
THU;2.02405E+11;6.2;95;18.5;39.5;4.8;4.8
THU;2.02405E+11;6.3;88;18.6;39.7;4.3;4.3
THU;2.02405E+11;6.3;84;18.6;39.7;4.5;4.4
THU;2.02405E+11;6.3;84;18.5;39.9;4.7;4.7
THU;2.02405E+11;6.2;79;18.4;39.6;4.5;4.5
THU;2.02405E+11;6.2;75;18.3;39.5;4.3;4.3
THU;2.02405E+11;6.2;77;18.3;39.6;4.7;4.7
THU;2.02405E+11;6.2;73;18;40.3;4.1;4
THU;2.02405E+11;6.1;65;18.1;39.7;5.2;5.2
THU;2.02405E+11;6.1;63;18.1;39.5;4.6;4.6
THU;2.02405E+11;6.1;53;18.1;39.5;3.9;3.9
THU;2.02405E+11;6.1;47;17.9;40.2;4.1;4.1
THU;2.02405E+11;6;36;17.9;39.7;4.7;4.7
THU;2.02405E+11;6;29;17.7;40;4.9;4.9
THU;2.02405E+11;6;28;17.8;39.2;5.2;5.2
THU;2.02405E+11;5.9;21;17.7;39.2;5.1;5.1
THU;2.02405E+11;5.9;17;17.7;39;4.9;4.9
THU;2.02405E+11;5.9;12;17.6;39.1;5;5
THU;2.02405E+11;5.9;8;17.3;40;4.5;4.5
THU;2.02405E+11;5.8;2;17.4;39.3;5;5
THU;2.02405E+11;5.8;0;17.1;39.9;5;5
THU;2.02405E+11;5.8;0;17;40;5.1;5
THU;2.02405E+11;5.8;0;17;39.8;4.9;4.9
THU;2.02405E+11;5.8;0;16.8;40.3;3.9;3.9
THU;2.02405E+11;5.7;0;16.8;40;3.9;3.9
THU;2.02405E+11;5.8;0;16.8;40.3;4;4
THU;2.02405E+11;5.8;0;16.9;39.8;3.6;3.6
THU;2.02405E+11;5.9;0;16.2;42.8;2.3;2.2
THU;2.02405E+11;6.2;0;14.9;48.8;1.9;1.9
THU;2.02405E+11;6.3;0;14.7;50.5;2.3;2.3
